2017-12-09 19:19:03 status unpacked libsepol1:armhf 2.4-2
2017-12-09 19:19:03 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2017-12-09 19:19:03 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2017-12-09 19:19:04 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2017-12-09 19:19:04 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2017-12-09 19:19:04 install libss2:armhf <none> 1.42.13-1ubuntu1
2017-12-09 19:19:04 status half-installed libss2:armhf 1.42.13-1ubuntu1
2017-12-09 19:19:04 status unpacked libss2:armhf 1.42.13-1ubuntu1
2017-12-09 19:19:04 status unpacked libss2:armhf 1.42.13-1ubuntu1
2017-12-09 19:19:04 install libsystemd0:armhf <none> 229-4ubuntu4
2017-12-09 19:19:04 status half-installed libsystemd0:armhf 229-4ubuntu4
2017-12-09 19:19:05 status unpacked libsystemd0:armhf 229-4ubuntu4
2017-12-09 19:19:05 status unpacked libsystemd0:armhf 229-4ubuntu4
2017-12-09 19:19:05 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2017-12-09 19:19:05 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:19:05 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:19:05 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-12-09 19:19:05 install libudev1:armhf <none> 229-4ubuntu4
2017-12-09 19:19:05 status half-installed libudev1:armhf 229-4ubuntu4
2017-12-09 19:19:06 status unpacked libudev1:armhf 229-4ubuntu4
2017-12-09 19:19:06 status unpacked libudev1:armhf 229-4ubuntu4
2017-12-09 19:19:06 install libustr-1.0-1:armhf <none> 1.0.4-5
2017-12-09 19:19:06 status half-installed libustr-1.0-1:armhf 1.0.4-5
2017-12-09 19:19:06 status unpacked libustr-1.0-1:armhf 1.0.4-5
2017-12-09 19:19:06 status unpacked libustr-1.0-1:armhf 1.0.4-5
2017-12-09 19:19:06 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2017-12-09 19:19:06 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2017-12-09 19:19:07 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2017-12-09 19:19:07 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
